Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,API,Score Label,Compute Score,Result URL,Schema
"Nov 06, 2025 Tartopel",Xiaomi Mi 11,ARM Venus 1804 MHz (8 cores),1804.0,8,Android,OpenCL,OpenCL Score,4517,/v6/compute/5149673,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. ROG Ally RC71L_RC71L,AMD Ryzen Z1 3201 MHz (6 cores),3201.0,6,Windows,OpenCL,OpenCL Score,13178,/v6/compute/5149672,v6-compute
"Nov 06, 2025",iPhone 15 Pro Max,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,Metal,Metal Score,28222,/v6/compute/5149671,v6-compute
"Nov 06, 2025",Samsung Galaxy S24 Ultra,ARM ARMv8 2265 MHz (8 cores),2265.0,8,Android,OpenCL,OpenCL Score,15211,/v6/compute/5149670,v6-compute
"Nov 06, 2025","iPhone18,3",ARM 3309 MHz (6 cores),3309.0,6,iOS,Metal,Metal Score,37339,/v6/compute/5149669,v6-compute
"Nov 06, 2025",ASRock B650M PG Lightning WiFi,AMD Ryzen 5 9600X 3900 MHz (6 cores),3900.0,6,Windows,OpenCL,OpenCL Score,195035,/v6/compute/5149668,v6-compute
"Nov 06, 2025",iPhone 13,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,18606,/v6/compute/5149667,v6-compute
"Nov 06, 2025",MacBook Pro (16-inch Late 2019),Intel Core i7-9750H 2600 MHz (6 cores),2600.0,6,macOS,OpenCL,OpenCL Score,23411,/v6/compute/5149666,v6-compute
"Nov 06, 2025",iPhone 13 Pro Max,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,21386,/v6/compute/5149665,v6-compute
"Nov 06, 2025",iPad Pro 11-inch (M4),Apple M4 4406 MHz (10 cores),4406.0,10,iOS,Metal,Metal Score,56296,/v6/compute/5149664,v6-compute
"Nov 06, 2025",vivo V2505A,Qualcomm ARMv8 3628 MHz (8 cores),3628.0,8,Android,OpenCL,OpenCL Score,14646,/v6/compute/5149663,v6-compute
"Nov 06, 2025",iPad Pro 11-inch (2nd generation),Apple A12Z Bionic 2490 MHz (8 cores),2490.0,8,iOS,Metal,Metal Score,18995,/v6/compute/5149662,v6-compute
