Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Nov 05, 2025","iPad17,2",ARM 4421 MHz (10 cores),4421.0,10,iOS,,4182,16821,/v6/cpu/14861508,v6
"Nov 04, 2025","iPad17,3",ARM 4412 MHz (10 cores),4412.0,10,iOS,,4182,16825,/v6/cpu/14842743,v6
"Nov 04, 2025","iPad17,2",ARM 4423 MHz (9 cores),4423.0,9,iOS,,4182,15725,/v6/cpu/14833715,v6
"Oct 29, 2025","iPad17,3",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4182,15619,/v6/cpu/14736859,v6
"Oct 29, 2025","iPad17,1",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4182,15753,/v6/cpu/14732444,v6
"Oct 26, 2025","Mac17,2",Apple M5 4604 MHz (10 cores),4604.0,10,macOS,,4182,16400,/v6/cpu/14682657,v6
"Oct 26, 2025","iPad17,3",ARM 4414 MHz (9 cores),4414.0,9,iOS,,4182,15342,/v6/cpu/14675422,v6
"Oct 25, 2025","iPad17,3",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4182,16731,/v6/cpu/14664787,v6
"Oct 24, 2025","iPad17,3",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4182,15564,/v6/cpu/14629499,v6
"Oct 23, 2025","iPad17,1",ARM 4377 MHz (9 cores),4377.0,9,iOS,,4182,15853,/v6/cpu/14613466,v6
"Oct 22, 2025","iPad17,3",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4182,15434,/v6/cpu/14609563,v6
"Oct 22, 2025","iPad17,1",ARM 4413 MHz (10 cores),4413.0,10,iOS,,4182,16927,/v6/cpu/14595958,v6
"Nov 05, 2025","iPad17,1",ARM 4388 MHz (9 cores),4388.0,9,iOS,,4181,15715,/v6/cpu/14867333,v6
"Nov 05, 2025","iPad17,1",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4181,15767,/v6/cpu/14866966,v6
"Nov 05, 2025","iPad17,3",ARM 4400 MHz (9 cores),4400.0,9,iOS,,4181,15807,/v6/cpu/14859170,v6
"Nov 05, 2025","iPad17,2",ARM 4397 MHz (10 cores),4397.0,10,iOS,,4181,16723,/v6/cpu/14855091,v6
"Nov 05, 2025","iPad17,1",ARM 4425 MHz (9 cores),4425.0,9,iOS,,4181,15623,/v6/cpu/14854310,v6
"Nov 04, 2025","iPad17,1",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4181,15856,/v6/cpu/14835416,v6
"Nov 03, 2025","iPad17,3",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4181,15655,/v6/cpu/14816287,v6
"Nov 01, 2025","iPad17,3",ARM 4421 MHz (9 cores),4421.0,9,iOS,,4181,15645,/v6/cpu/14791825,v6
"Oct 29, 2025","iPad17,4",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4181,16516,/v6/cpu/14740365,v6
"Oct 29, 2025","iPad17,2",ARM 4428 MHz (9 cores),4428.0,9,iOS,,4181,15734,/v6/cpu/14733804,v6
"Oct 27, 2025","iPad17,4",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4181,16758,/v6/cpu/14698610,v6
"Oct 26, 2025","iPad17,3",ARM 4414 MHz (9 cores),4414.0,9,iOS,,4181,15641,/v6/cpu/14671804,v6
"Oct 26, 2025","iPad17,1",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4181,15711,/v6/cpu/14669861,v6
"Oct 24, 2025","iPad17,1",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4181,15599,/v6/cpu/14637374,v6
"Oct 23, 2025","iPad17,1",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4181,16690,/v6/cpu/14623900,v6
"Oct 22, 2025","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,,4181,17889,/v6/cpu/14607827,v6
"Nov 05, 2025 DesertFOX","iPad17,4",ARM 4415 MHz (9 cores),4415.0,9,iOS,DesertFOX,4180,15782,/v6/cpu/14872222,v6
"Nov 05, 2025","iPad17,4",ARM 4415 MHz (9 cores),4415.0,9,iOS,,4180,15782,/v6/cpu/14872220,v6
"Nov 05, 2025","iPad17,4",ARM 4428 MHz (9 cores),4428.0,9,iOS,,4180,15730,/v6/cpu/14872073,v6
"Nov 05, 2025","iPad17,3",ARM 4425 MHz (9 cores),4425.0,9,iOS,,4180,15752,/v6/cpu/14868555,v6
"Nov 05, 2025 uzc","iPad17,3",ARM 4320 MHz (10 cores),4320.0,10,iOS,uzc,4180,16716,/v6/cpu/14861484,v6
"Nov 05, 2025","iPad17,3",ARM 4320 MHz (10 cores),4320.0,10,iOS,,4180,16716,/v6/cpu/14861480,v6
"Nov 05, 2025","iPad17,2",ARM 4400 MHz (9 cores),4400.0,9,iOS,,4180,15742,/v6/cpu/14859636,v6
"Nov 05, 2025","iPad17,1",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4180,15731,/v6/cpu/14854474,v6
"Nov 04, 2025","iPad17,1",ARM 4428 MHz (9 cores),4428.0,9,iOS,,4180,15765,/v6/cpu/14841690,v6
"Nov 04, 2025","iPad17,1",ARM 4415 MHz (10 cores),4415.0,10,iOS,,4180,16839,/v6/cpu/14836904,v6
"Nov 03, 2025","iPad17,3",ARM 4420 MHz (9 cores),4420.0,9,iOS,,4180,15639,/v6/cpu/14828459,v6
